min_touches,swing_window,win_rate,total_signals
2,2,81.34110787172013,343
2,3,81.06995884773663,243
2,4,79.3296089385475,179
2,5,80.48780487804879,123
2,6,79.83193277310924,119
2,7,85.29411764705883,68
2,8,87.5,64
2,9,87.27272727272727,55
2,10,87.27272727272727,55
2,11,88.88888888888889,54
2,12,89.36170212765957,47
2,13,88.09523809523809,42
2,14,86.11111111111111,36
2,15,92.85714285714286,28
2,16,92.5925925925926,27
2,17,95.45454545454545,22
2,18,92.3076923076923,13
2,19,91.66666666666666,12
2,20,90.0,10
2,21,90.0,10
2,22,88.88888888888889,9
2,23,88.88888888888889,9
2,24,87.5,8
2,25,87.5,8
2,26,85.71428571428571,7
2,27,85.71428571428571,7
2,28,85.71428571428571,7
2,29,100.0,6
2,30,100.0,4
3,2,81.8815331010453,287
3,3,80.61224489795919,196
3,4,78.125,128
3,5,77.92207792207793,77
3,6,76.38888888888889,72
3,7,79.06976744186046,43
3,8,82.5,40
3,9,81.25,32
3,10,81.25,32
3,11,81.25,32
3,12,83.33333333333334,30
3,13,82.14285714285714,28
3,14,78.26086956521739,23
3,15,90.9090909090909,11
3,16,90.0,10
3,17,100.0,7
3,18,100.0,2
3,19,100.0,2
3,20,100.0,2
3,21,100.0,2
3,22,100.0,1
3,23,100.0,1
3,24,0.0,0
3,25,0.0,0
3,26,0.0,0
3,27,0.0,0
3,28,0.0,0
3,29,0.0,0
3,30,0.0,0
